City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
157,Tabas,IR,33.5959,56.9244,89.82,22,0,4.61,clear sky,2022-07-25 01:55:53
158,Lasa,IT,46.6166,10.7002,66.69,93,1,2.04,clear sky,2022-07-25 01:55:25
159,Lufkin,US,31.3382,-94.7291,91.31,60,0,9.22,clear sky,2022-07-25 01:51:38
160,Hilo,US,19.7297,-155.09,86.29,67,0,9.22,clear sky,2022-07-25 01:51:46
161,Rundu,NA,-17.9333,19.7667,56.25,44,0,6.31,clear sky,2022-07-25 01:55:55
162,Aklavik,CA,68.2191,-135.0107,62.29,51,31,6.38,scattered clouds,2022-07-25 01:55:56
163,Kapaa,US,22.0752,-159.319,84.52,67,20,14.97,few clouds,2022-07-25 01:52:35
164,Rovenki,UA,48.0833,39.3776,64.65,61,21,3.96,few clouds,2022-07-25 01:55:56
165,Vila Velha,BR,-20.3297,-40.2925,67.95,90,75,3.44,broken clouds,2022-07-25 01:55:57
166,Kaitangata,NZ,-46.2817,169.8464,45.25,92,100,8.95,overcast clouds,2022-07-25 01:55:58
167,Vao,NC,-22.6667,167.4833,71.92,73,78,12.62,broken clouds,2022-07-25 01:55:58
168,Byron Bay,AU,-28.65,153.6167,67.95,65,1,5.97,clear sky,2022-07-25 01:55:59
169,Port Hedland,AU,-20.3167,118.5667,71.65,30,0,19.57,clear sky,2022-07-25 01:55:59
170,Mount Gambier,AU,-37.8333,140.7667,57.11,88,100,14.97,overcast clouds,2022-07-25 01:56:00
171,Keti Bandar,PK,24.1447,67.4497,79.25,94,100,18.86,very heavy rain,2022-07-25 01:56:00
172,Baghdad,IQ,33.3406,44.4009,82.31,21,0,4.61,clear sky,2022-07-25 01:53:44
173,Adrar,MR,20.5022,-10.0711,92.37,11,2,14.05,clear sky,2022-07-25 01:56:01
174,Yinchuan,CN,38.4681,106.2731,82.78,40,4,5.53,clear sky,2022-07-25 01:56:02
175,Namatanai,PG,-3.6667,152.4333,83.01,76,25,9.51,light rain,2022-07-25 01:56:02
176,Saldanha,ZA,-33.0117,17.9442,50.9,61,0,9.75,clear sky,2022-07-25 01:56:03
177,Srednekolymsk,RU,67.45,153.6833,72.64,29,100,10.74,overcast clouds,2022-07-25 01:53:39
178,Caruray,PH,10.3094,119.0128,86.68,66,86,0.13,overcast clouds,2022-07-25 01:56:04
179,Mandalgovi,MN,45.7625,106.2708,70.23,38,6,13.49,light rain,2022-07-25 01:56:04
180,Jieshi,CN,22.8134,115.8257,87.6,74,16,6.85,few clouds,2022-07-25 01:56:05
181,Cabra,ES,37.4725,-4.4421,87.66,20,34,3.33,scattered clouds,2022-07-25 01:56:05
182,Ribeira Grande,PT,38.5167,-28.7,74.05,90,11,5.23,few clouds,2022-07-25 01:56:06
183,Sechura,PE,-5.5569,-80.8222,64.67,87,71,12.88,broken clouds,2022-07-25 01:56:06
184,Geraldton,AU,-28.7667,114.6,55.81,76,0,12.66,clear sky,2022-07-25 01:56:07
185,Luderitz,NA,-26.6481,15.1594,67.14,43,0,8.25,clear sky,2022-07-25 01:56:03
186,Kargasok,RU,59.0556,80.8572,53.15,98,100,5.93,light rain,2022-07-25 01:56:08
187,Nanortalik,GL,60.1432,-45.2371,46.22,87,100,3.6,light rain,2022-07-25 01:56:09
188,Deputatskiy,RU,69.3,139.9,66.67,48,99,6.93,overcast clouds,2022-07-25 01:56:10
189,Qasigiannguit,GL,68.8193,-51.1922,36.77,98,99,1.45,overcast clouds,2022-07-25 01:56:10
190,Kolarovo,SK,47.9229,17.9847,67.1,48,4,3.62,clear sky,2022-07-25 01:56:11
191,Formosa,AR,-26.1775,-58.1781,71.58,83,0,9.22,clear sky,2022-07-25 01:56:11
192,College,US,64.8569,-147.8028,75.07,32,0,6.91,clear sky,2022-07-25 01:56:12
193,Road Town,VG,18.4167,-64.6167,82.44,78,20,14.97,few clouds,2022-07-25 01:56:12
194,Odienne,CI,9.51,-7.5692,69.53,98,100,2.8,light rain,2022-07-25 01:56:13
195,North Bend,US,43.4065,-124.2243,78.24,87,40,28.77,scattered clouds,2022-07-25 01:56:13
196,Belaya Gora,RU,68.5333,146.4167,74.93,30,29,6.02,scattered clouds,2022-07-25 01:56:14
197,Port Moresby,PG,-9.4431,147.1797,85.42,66,40,13.8,haze,2022-07-25 01:56:15
198,Wilmington,US,34.2257,-77.9447,80.01,83,36,1.99,scattered clouds,2022-07-25 01:56:16
199,Dispur,IN,26.1425,91.7889,80.55,89,100,1.7,heavy intensity rain,2022-07-25 01:56:17
200,Asau,RO,46.4333,26.4,65.32,93,94,3.2,overcast clouds,2022-07-25 01:56:17
201,Pisco,PE,-13.7,-76.2167,60.85,88,0,6.91,clear sky,2022-07-25 01:54:40
202,Corpus Christi,US,27.8006,-97.3964,87.98,79,40,16.11,scattered clouds,2022-07-25 01:56:18
203,Buckeye,US,33.3703,-112.5838,100.81,35,7,10.36,clear sky,2022-07-25 01:55:54
204,Cayenne,GF,4.9333,-52.3333,83.08,1,0,1.99,clear sky,2022-07-25 01:56:20
205,Leua,SK,48.2156,18.6071,66.49,62,6,4.41,clear sky,2022-07-25 01:56:20
206,Elk,PL,53.8282,22.3647,54.75,97,94,4.81,overcast clouds,2022-07-25 01:55:17
207,Hithadhoo,MV,-0.6,73.0833,81.86,73,83,8.28,broken clouds,2022-07-25 01:52:52
208,Talara,PE,-4.5772,-81.2719,63.86,93,48,15.28,scattered clouds,2022-07-25 01:56:21
209,Touros,BR,-5.1989,-35.4608,73.99,72,75,16.82,broken clouds,2022-07-25 01:56:22
210,Port Hawkesbury,CA,45.6169,-61.3485,79.72,66,0,5.75,clear sky,2022-07-25 01:56:23
211,Dikson,RU,73.5069,80.5464,48.58,99,100,6.24,light rain,2022-07-25 01:55:17
212,Jardim,BR,-21.4803,-56.1381,73.38,40,40,2.24,scattered clouds,2022-07-25 01:55:13
213,Vakhrushev,RU,48.9833,142.9667,65.43,82,79,6.98,broken clouds,2022-07-25 01:56:24
214,Puerto Maldonado,PE,-12.6,-69.1833,72.88,87,25,1.23,scattered clouds,2022-07-25 01:56:25
215,Bambous Virieux,MU,-20.3428,57.7575,64.65,88,75,3.44,broken clouds,2022-07-25 01:56:25
216,Bangkalan,ID,-7.0455,112.7351,76.95,63,22,10.29,few clouds,2022-07-25 01:56:26
217,Saint Anthony,US,45.0205,-93.218,73.65,55,0,13.8,clear sky,2022-07-25 01:51:44
218,Alofi,NU,-19.0595,-169.9187,75.09,60,74,17.27,broken clouds,2022-07-25 01:56:27
219,Mahur,IN,25.1667,93.1167,71.83,95,99,1.74,overcast clouds,2022-07-25 01:56:27
220,Nara,JP,34.6851,135.8049,92.97,38,100,0.85,overcast clouds,2022-07-25 01:56:28
221,Moche,PE,-8.1711,-79.0092,60.98,94,100,10.36,mist,2022-07-25 01:56:29
222,Hudson Bay,CA,52.85,-102.3842,62.83,71,62,5.19,broken clouds,2022-07-25 01:55:46
223,Cabo San Lucas,MX,22.8909,-109.9124,85.6,75,15,5.01,few clouds,2022-07-25 01:55:47
224,Torbay,CA,47.6666,-52.7314,72.37,74,20,18.41,few clouds,2022-07-25 01:52:25
225,Tuatapere,NZ,-46.1333,167.6833,46.09,72,74,3.89,broken clouds,2022-07-25 01:56:30
226,Baykit,RU,61.67,96.37,66.09,55,74,3.83,broken clouds,2022-07-25 01:55:46
227,San Joaquin,US,37.9333,-121.3011,98.53,33,0,9.8,clear sky,2022-07-25 01:56:31
228,Beringovskiy,RU,63.05,179.3167,45.12,77,100,14.36,overcast clouds,2022-07-25 01:56:32
229,Clyde River,CA,70.4692,-68.5914,43.03,100,100,8.05,overcast clouds,2022-07-25 01:56:32
230,Soure,BR,-0.7167,-48.5233,79.36,83,35,9.71,scattered clouds,2022-07-25 01:56:33
231,Nemuro,JP,43.3236,145.575,64.18,88,5,2.48,clear sky,2022-07-25 01:56:34
232,Bergen,NO,60.392,5.328,64.15,81,75,16.11,light rain,2022-07-25 01:54:22
233,Poli,TZ,-3.3333,36.8,51.24,92,42,2.17,scattered clouds,2022-07-25 01:56:35
234,Pompeia,BR,-22.1086,-50.1717,65.44,46,86,5.06,overcast clouds,2022-07-25 01:56:35
235,Hualmay,PE,-11.0964,-77.6139,62.2,84,36,10.58,scattered clouds,2022-07-25 01:56:36
236,Pithiviers,FR,48.1667,2.25,73.42,57,64,7.0,broken clouds,2022-07-25 01:56:36
237,Bilibino,RU,68.0546,166.4372,59.61,43,37,13.11,scattered clouds,2022-07-25 01:56:37
238,Buldana,IN,20.5333,76.1833,71.65,88,100,7.99,overcast clouds,2022-07-25 01:56:37
239,Kalmar,SE,56.6616,16.3616,59.97,89,100,1.99,overcast clouds,2022-07-25 01:56:38
240,Fortuna,US,40.5982,-124.1573,62.92,77,31,1.01,scattered clouds,2022-07-25 01:56:39
241,Ilulissat,GL,69.2167,-51.1,37.54,97,92,1.77,overcast clouds,2022-07-25 01:54:32
242,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,88,41,2.86,scattered clouds,2022-07-25 01:56:42
243,Arlit,NE,18.7369,7.3853,94.73,21,5,2.8,clear sky,2022-07-25 01:56:43
244,Buin,CL,-33.7333,-70.75,55.44,93,100,0.98,overcast clouds,2022-07-25 01:56:43
245,Sibu,MY,2.3,111.8167,80.91,78,40,5.99,scattered clouds,2022-07-25 01:56:44
246,Bud,US,39.447,-86.1758,77.49,93,100,5.17,overcast clouds,2022-07-25 01:56:45
247,Northam,GB,51.0333,-4.2167,61.39,95,84,20.11,broken clouds,2022-07-25 01:56:45
248,Cairns,AU,-16.9167,145.7667,81.1,62,40,12.66,scattered clouds,2022-07-25 01:55:59
249,Te Anau,NZ,-45.4167,167.7167,44.85,72,98,2.46,overcast clouds,2022-07-25 01:56:46
250,Solnechnyy,RU,50.7214,136.6319,81.63,50,1,5.17,clear sky,2022-07-25 01:56:47
